Term	Notes	Ukrainian
card_animal_pen_description		Can hold 5 Animals
card_animal_pen_name		Animal Pen
card_apple_description		Keeps doctors away
card_apple_name		Apple
card_apple_tree_description		A tree.. with apples in it
card_apple_tree_name		Apple Tree
card_apple_tree_status		Punching Apple Tree
card_bear_description		Soft yet dangerous
card_bear_name		Bear
card_berry_description		A simple food found in Berry Bushes
card_berry_name		Berry
card_berrybush_description		A bush with delicious berries in it
card_berrybush_name		Berry Bush
card_berrybush_status		Picking Berry Bush
card_bone_description		Fact: a skeleton consists of many of these
card_bone_name		Bone
card_brick_description		A strong building material
card_brick_name		Brick
card_brickyard_description		Quickly turns Stone into Bricks
card_brickyard_name		Brickyard
card_campfire_description		Can be used to cook foods - it looks warm & cozy
card_campfire_name		Campfire
card_carrot_description		The crunchiest vegetable
card_carrot_name		Carrot
card_catacombs_description		Rumored to contain a mysterious object
card_catacombs_name		Catacombs
card_catacombs_status		Exploring Catacombs
card_chicken_description		Alleged descendent of dinosaurs. I don't see it
card_chicken_name		Chicken
card_cooked_meat_description		It's cooked medium rare
card_cooked_meat_name		Cooked Meat
card_corpse_description		A dead human
card_corpse_name		Corpse
card_cow_description		MOOOOOO!
card_cow_name		Cow
card_demon_description		The Final Boss
card_demon_name		Demon
card_dog_description		Humanity's true best friend. Can do anything a Human can, just slower!
card_dog_name		Dog
card_egg_description		Can't be eaten raw: thanks salmonella
card_egg_name		Egg
card_explorer_description		Very fast at exploring Locations, but slightly slower at other tasks
card_explorer_name		Explorer
card_farm_description		An advanced building for growing Food
card_farm_name		Farm
card_flint_description		Used to start fires
card_flint_name		Flint
card_forest_description		A quaint place that also contains monsters
card_forest_name		Forest
card_forest_status		Exploring Forest
card_frittata_description		Delicious! Eat it with a fork
card_frittata_name		Frittata
card_fruit_salad_description		A classic ancient food
card_fruit_salad_name		Fruit Salad
card_garden_description		A simple building for growing Food
card_garden_name		Garden
card_giant_rat_description		Big version of a small Rat
card_giant_rat_name		Giant Rat
card_goblet_description		A mysterious object
card_goblet_name		Golden Goblet
card_goblin_description		A monster with bad posture
card_goblin_name		Goblin
card_gold_description		Humanity's best friend
card_gold_name		Coin
card_graveyard_description		Very different from a normal yard
card_graveyard_name		Graveyard
card_graveyard_status		Exploring Graveyard
card_house_description		A nice place to live
card_house_name		House
card_iron_bar_description		A shiny, valuable material
card_iron_bar_name		Iron Bar
card_iron_deposit_description		Contains Iron Ore
card_iron_deposit_name		Iron Deposit
card_iron_deposit_status		Punching Deposit
card_iron_ore_description		Can be turned into Iron Bars
card_iron_ore_name		Iron Ore
card_key_description		I wonder what it's for..
card_key_name		Key
card_kid_description		A young'un. Needs a House to grow up in.
card_kid_name		Baby
card_lumbercamp_description		An unlimited resource of Wood
card_lumbercamp_name		Lumber Camp
card_lumbercamp_status		Logging in Camp
card_map_description		Use a Map to turn a Villager into an Explorer
card_map_name		Map
card_market_name		Market
card_militia_name		Militia
card_milk_description		Fresh from the Cow
card_milk_name		Milk
card_milkshake_description		It's Berry flavoured
card_milkshake_name		Milkshake
